ATCTUN;ATCKOODI;SELITES;SELITER;DDD;DDDYKSIKKO
1106;C02LE01;pratsosiini ja diureetit;prazosin och diuretika;;
1107;C02LF;Guanidiinijohdokset ja diureetit;Guanidinderivat och diuretika;;
1108;C02LF01;guanetidiini ja diureetit;guanetidin och diuretika;;
1109;C02LG;Hydratsiiniftalatsiinijohdokset ja diureetit;Hydrazinftalazinderivat och diuretika;;
1110;C02LG01;dihydralatsiini ja diureetit;dihydralazin och diuretika;;
1111;C02LG02;hydralatsiini ja diureetit;hydralazin och diuretika;;
1112;C02LG03;pikodralatsiini ja diureetit;picodralazin och diuretika;;
1113;C02LG51;dihydralatsiini ja diureetit, sis. muut yhdistelmävalmisteet;dihydralazin och diuretika, inkl. övriga kombinationer;;
1114;C02LG73;pikodralatsiini ja diureetit, yhdistelmävalmisteet psyykenlääkkeiden kanssa;picodralazin och diuretika, kombinationer med psykofarmaka;;
1242;C04AF;Entsyymit;Enzymer;;
1243;C04AF01;kallidinogenaasi;kallidinogenas;30;U
1244;C04AX;Muut perifeeriset vasodilatoijat;Övriga perifera vasodilatatorer;;
1245;C04AX01;syklandelaatti;cyklandelat;0.6;g
1246;C04AX02;fenoksibentsamiini;fenoxibenzamin;30;mg
1247;C04AX07;vinkamiini;vinkamin;;
1248;C04AX10;moksisylyytti;moxisylyt;;
1249;C04AX11;bensyklaani;bencyklan;;
1250;N04BC08;piribediili;piribedil;0.2;g
1251;C04AX17;vinburniini;vinburnin;;
1252;C04AX19;sulkotidiili;sulkotidil;;
1253;C04AX20;buflomediili;buflomedil;0.6;g
1254;C04AX21;naftidrofuryyli;naftidrofuryl;0.6;g
1255;C04AX23;butalamiini;butalamin;;
1256;C04AX24;visnadiini;visnadin;0.6;g
1257;C04AX26;setiediili;cetiedil;;
1258;C04AX27;sinepatsidi;sinepazid;;
1259;C04AX28;ifenprodiili;ifenprodil;;
1367;C07CA;Epäselektiiviset beetasalpaajat ja muut diureetit;Icke-selektiva beta-receptorblockerare och övriga diuretika;;
1368;C07CA02;oksprenololi ja muut diureetit;oxprenolol och övriga diuretika;;
1369;C07CA03;pindololi ja muut diureetit;pindolol och övriga diuretika;;
1370;C07CA17;bopindololi ja muut diureetit;bopindolol och övriga diuretika;;
1371;C07CA23;penbutololi ja muut diureetit;penbutolol och övriga diuretika;;
1372;C07CB;Selektiiviset beetasalpaajat ja muut diureetit;Selektiva beta-receptorblockerare och övriga diuretika;;
1373;C07CB02;metoprololi ja muut diureetit;metoprolol och övriga diuretika;;
1374;C07CB03;atenololi ja muut diureetit;atenolol och övriga diuretika;;
1375;C07CB53;atenololi ja muut diureetit, yhdistelmävalmisteet;atenolol och andra diuretika, kombinationer;;
1376;C07CG;Alfa- ja beetareseptoreita salpaavat yhdistelmävalmisteet muiden diureettien kanssa;Alfa- och betareceptorblockerande kombinationer med övriga diuretika;;
1377;C07CG01;labetaloli ja muut diureetit;labetalol och övriga diuretika;;
1378;C07D;BEETASALPAAJAT, TIATSIDIT JA MUUT DIUREETIT;BETA-RECEPTORBLOCKERARE, TIAZIDER OCH ÖVRIGA DIURETIKA;;
972;C01DA57;propatyylinitraatti, yhdistelmävalmisteet;propatylnitrat, kombinationer;;
973;C01DA58;isosorbididinitraatti, yhdistelmävalmisteet;isosorbiddinitrat, kombinationer;;
974;C01DA59;trolnitraatti, yhdistelmävalmisteet;trolnitrat, kombinationer;;
975;C01DA63;erytrityylitetranitraatti, yhdistelmävalmisteet;erytrityltetranitrat, kombinationer;;
976;C01DA70;sepelvaltimoita laajentavien lääkkeiden ja psyykenlääkkeiden yhdistelmävalmisteet;kranskärlutvidgande medel i kombination med psykofarmaka;4;ED
977;C01DB;Kinolonijohdannaiset;Kinolonderivat;;
978;C01DB01;flosekinani;flosekinan;;
979;C01DX;Muut iskeemisen sydäntaudin lääkkeet;Övriga medel mot iskemiska hjärtsjukdomar;;
980;C01DX01;itramiinitosylaatti;itramintosylat;;
981;C01DX02;prenyyliamiini;prenylamin;0.12;g
982;C01DX03;oksifedriini;oxifedrin;40;mg
983;C01DX04;bentsiodaroni;benziodaron;0.25;g
984;C01DX05;karbokromeeni;karbokromen;;
985;C01DX06;heksobendiini;hexobendin;;
986;C01DX07;etafenoni;etafenon;0.225;g
987;C01DX08;heptaminoli;heptaminol;0.45;g
988;C01DX09;imolamiini;imolamin;90;mg
1115;C02LK;Alkaloidien, lukuun ottamatta rauwolfia-alkaloideja, ja diureettien yhdistelmä valmisteet;Alkaloider (exkl. rauwolfiaalkaloider) i kombination med diuretika;;
1116;C02LK01;veratrumalkaloidit ja diureetit;veratrumalkaloider och diuretika;;
1117;C02LL;MAO:n estäjät ja diureetit;MAO-hämmare i kombination med diuretika;;
1118;C02LL01;pargyliini ja diureetit;pargylin och diuretika;;
1119;C02LN;Serotoniiniantagonistit ja diureetit;Serotoninantagonister och diuretika;;
1120;C02LX;Muut verenpainelääkkeet ja diureetit;Övriga antihypertensiva och diuretika;;
1121;C02LX01;pinasidiili ja diureetit;pinacidil och diuretika;;
1122;C02N;VERENPAINELÄÄKKEIDEN YHDISTELMÄVALMISTEET;KOMBINATIONER AV ANTIHYPERTENSIVA MEDEL;;
1123;C03;DIUREETIT;DIURETIKA;;
1124;C03A;TIATSIDIT;TIAZIDER;;
1125;C03AA;Tiatsidit;Tiazider;;
1126;C03AA01;bendroflumetiatsidi;bendroflumetiazid;2.5;mg
1127;C03AA02;hydroflumetiatsidi;hydroflumetiazid;25;mg
1128;C03AA03;hydroklooritiatsidi;hydroklorotiazid;25;mg
1129;C03AA04;klooritiatsidi;klorotiazid;0.5;g
1130;C03AA05;polytiatsidi;polytiazid;1;mg
1131;C03AA06;trikloorimetiatsidi;triklormetiazid;4;mg
1132;C03AA07;syklopentiatsidi;cyklopentiazid;0.5;mg
1133;C03AA08;metyklotiatsidi;metyklotiazid;5;mg
1260;C04AX30;atsapetiini;azapetin;0.15;g
1261;C05;SUONIKOHJUJEN JA PERÄPUKAMIEN HOITOON TARKOITETUT VALMISTEET;MEDEL VID HEMORROJDER OCH VARICER;;
1262;C05A;PAIKALLISESTI KÄYTETTÄVÄT PERÄPUKAMIEN JA PERÄAUKON HAAVAUMIEN HOITOON TARKOITETUT VALMISTEET;MEDEL MOT HEMORROJDER OCH ANALFISSURER, TILL UTVÄRTES BRUK;;
1263;C05AA;Kortikosteroidit;Kortikosteroider;;
1264;C05AA01;hydrokortisoni;hydrokortison;;
1265;C05AA04;prednisoloni;prednisolon;;
1266;C05AA05;beetametasoni;betametason;;
1267;C05AA06;fluorometoloni;fluorometolon;;
1268;C05AA08;fluokortoloni;fluokortolon;;
1269;C05AA09;deksametasoni;dexametason;;
1270;C05AA10;fluosinoloniasetonidi;fluocinolonacetonid;;
1271;C05AA11;fluosinonidi;fluocinonid;;
1272;C05AB;Antibiootit;Antibiotika;;
1273;C05AD;Paikallispuudutteet;Lokalanestetika;;
1379;C07DA;Epäselektiiviset beetasalpaajat, tiatsidit ja muut diureetit;Icke-selektiva beta-receptorblockerare, tiazider och övriga diuretika;;
1380;C07DA06;timololi, tiatsidit ja muut diureetit;timolol, tiazider och övriga diuretika;;
1381;C07DB;Selektiiviset beetasalpaajat, tiatsidit ja muut diureetit;Selektiva beta-receptorblockerare, tiazider och övriga diuretika;;
1382;C07DB01;atenololi, tiatsidit ja muut diureetit;atenolol, tiazider och övriga diuretika;;
1383;C07E;BEETASALPAAJAT JA VASODILATOIJAT;BETA-RECEPTORBLOCKERARE OCH VASODILATATORER;;
1384;C07EA;Epäselektiiviset beetasalpaajat ja vasodilatoijat;Icke-selektiva beta-receptorblockerare och vasodilatatorer;;
1385;C07EB;Selektiiviset beetasalpaajat ja vasodilatoijat;Selektiva beta-receptorblockerare och vasodilatatorer;;
1386;C07F;BEETASALPAAJAT, MUUT YHDISTELMÄVALMISTEET;BETA-RECEPTORBLOCKERARE, ÖVRIGA KOMBINATIONER;;
1388;C07FX01;propranololi muut yhdistelmävalmisteet;propranolol övriga akombinationer;;
1389;C07FB;Beetasalpaajat ja kalsiumkanavan salpaajat;Beta-receptorblockerare och kalciumkanalblockerare;;
1390;C07FB02;metoprololi ja felodipiini;metoprolol och felodipin;1;ED
1391;C07FB03;atenololi ja nifedipiini;atenolol och nifedipin;1;ED
1392;C08;KALSIUMKANAVAN SALPAAJAT;KALCIUMKANALBLOCKERARE;;
989;C01DX10;dilatseeppi;dilazep;0.1;g
990;C01DX11;trapidiili;trapidil;;
991;C01DX12;molsidomiini;molsidomin;;
992;C01DX13;efloksaatti;efloxat;0.2;g
993;C01DX14;sinepatseetti;cinepazet;0.9;g
994;C01DX15;kloridaroli;kloridarol;;
995;C01DX16;nikorandiili;nikorandil;40;mg
996;C01EB15;trimetatsidiini;trimetazidin;40;mg
997;C01DX18;linsidomiini;linsidomin;;
998;C01DX51;itramiinitosylaatti, yhdistelmävalmisteet;itramintosylat, kombinationer;;
999;C01DX52;prenyyliamiini, yhdistelmävalmisteet;prenylamin, kombinationer;;
1000;C01DX53;oksifedriini, yhdistelmävalmisteet;oxifedrin, kombinationer;;
1001;C01DX54;bentsiodaroni, yhdistelmävalmisteet;bensiodaron, kombinationer;;
1002;C01E;MUUT SYDÄNLÄÄKKEET;ÖVRIGA MEDEL VID HJÄRTSJUKDOMAR;;
1003;C01EA;Prostaglandiinit;Prostaglandiner;;
1004;C01EA01;alprostadiili;alprostadil;0.5;mg
1005;C01EB;Muut yhtä vaikuttavaa ainetta sisältävät valmisteet;Övriga enkelpreparat;;
1134;C03AA09;syklotiatsidi;cyklotiazid;5;mg
1135;C03AA13;mebutitsidi;mebutizid;;
1136;C03AB;Tiatsidien ja kaliumin yhdistelmävalmisteet;Kombinationer av tiazider och kalium;;
1137;C03AB01;bendroflumetiatsidi ja kalium;bendroflumetiazid och kalium;2.5;mg
1138;C03AB02;hydroflumetiatsidi ja kalium;hydroflumetiazid och kalium;25;mg
1139;C03AB03;hydroklooritiatsidi ja kalium;hydroklorotiazid och kalium;25;mg
1140;C03AB04;klooritiatsidi ja kalium;klorotiazid och kalium;0.5;g
1141;C03AB05;polytiatsidi ja kalium;polytiazid och kalium;1;mg
1142;C03AB06;trikloorimetiatsidi ja kalium;triklormetiazid och kalium;4;mg
1143;C03AB07;syklopentiatsidi ja kalium;cyklopentiazid och kalium;0.5;mg
1144;C03AB08;metyklotiatsidi ja kalium;metyklotiazid och kalium;5;mg
1145;C03AB09;syklotiatsidi ja kalium;cyklotiazid och kalium;5;mg
1146;C03AH;Tiatsidien ja psyykenlääkkeiden ja/tai analgeettien yhdistelmävalmisteet;Tiazider i kombination med psykofarmaka och/eller analgetika;;
1147;C03AH01;klooritiatsidi, yhdistelmävalmisteet;klorotiazid, kombinationer;;
1148;C03AH02;hydroflumetiatsidi, yhdistelmävalmisteet;hydroflumetiazid, kombinationer;;
1149;C03AX;Tiatsidien ja muiden lääkeaineiden yhdistelmävalmisteet;Tiazider i kombination med övriga medel;;
1150;C03AX01;hydroklooritiatsidi, yhdistelmävalmisteet;hydroklorotiazid, kombinationer;;
1151;C03B;TIATSIDEJA MUISTUTTAVAT DIUREETIT;TIAZIDBESLÄKTADE DIURETIKA;;
1274;C05AD01;lidokaiini;lidokain;;
1275;C05AD02;tetrakaiini;tetrakain;;
1276;C05AD03;bentsokaiini;bensokain;;
1277;C05AD04;sinkokaiini;cinkokain;;
1278;C05AD05;prokaiini;prokain;;
1279;C05AD06;oksetakaiini;oxetakain;;
1280;C05AD07;pramokaiini;pramokain;;
1281;C05AX;Muut paikallisesti käytettävät peräpukamien ja peräaukon haavaumien hoitoon tarkoitetut valmisteet;Övriga medel mot hemorrojder och analfissurer, till utvärtes bruk;;
1282;C05AX01;aluminiumvalmisteet;aluminiumpreparat;;
1283;C05AX02;vismutti, yhdistelmävalmisteet;vismutpreparat, kombinationer;;
1284;C05AX03;muut yhdistelmävalmisteet;övriga kombinationer;;
1393;C08C;PÄÄASIASSA VERISUONISTOON VAIKUTTAVAT SELEKTIIVISET KALSIUMKANAVAN SALPAAJAT;KALCIUMKANALBLOCKERARE MED ÖVERVÄGANDE KÄRLSELEKTIV EFFEKT;;
1394;C08CA;Dihydropyridiinijohdokset;Dihydropyridinderivat;;
1395;C08CA01;amlodipiini;amlodipin;5;mg
1396;C08CA02;felodipiini;felodipin;5;mg
1397;C08CA03;isradipiini;isradipin;5;mg
1398;C08CA04;nikardipiini;nikardipin;90;mg
1399;C08CA05;nifedipiini;nifedipin;30;mg
1400;C08CA06;nimodipiini;nimodipin;0.3;g
1401;C08CA06;nimodipiini;nimodipin;50;mg
1402;C08CA07;nisoldipiini;nisoldipin;20;mg
1403;C08CA08;nitrendipiini;nitrendipin;20;mg
1404;C08CA09;lasidipiini;lacidipin;4;mg
1405;C08CA10;nilvadipiini;nilvadipin;8;mg
1406;C08CA11;manidipiini;manidipin;10;mg
1006;C01EB02;kamferi;kamfer;0.15;g
1007;C01EB03;indometasiini;indometacin;;
1008;C01EB04;crataegus glykosidit;crataegusglykosider;;
1009;C01EB05;kreatinolifosfaatti;kreatinolfosfat;;
1010;C01EB06;fosfokreatiini;fosfokreatin;;
1011;C01EB07;fruktoosi-1,6-difosfaatti;fruktos-1,6-difosfat;;
1012;C01EB09;ubidekarenoni;ubidekarenon;;
1013;C01EB10;adenosiini;adenosin;15;mg
1014;C01EB11;tirasitsiini;tiracizin;;
1015;C01BD06;tedisamiili;tedisamil;;
1016;C01EB13;akadesiini;acadesin;;
1017;C01EX;Muut yhdistelmävalmisteet;Övriga kombinationer;;
1018;C02;VERENPAINELÄÄKKEET;ANTIHYPERTENSIVA MEDEL;;
1019;C02A;ANTIADRENERGISET LÄÄKEAINEET, KESKUSHERMOSTOON VAIKUTTAVAT;ANTIADRENERGIKA MED CENTRAL VERKAN;;
1020;C02AA;Rauwolfia-alkaloidit;Rauwolfiaalkaloider;;
1021;C02AA01;reskinnamiini;rescinnamin;;
1022;C02AA02;reserpiini;reserpin;0.5;mg
1023;C02AA03;rauwolfia-alkaloidien yhdistelmävalmisteet;rauwolfiaalkaloider, kombinationer;;
1152;C03BA;Sulfonamidit;Sulfonamider;;
1153;C03BA02;kinetatsoni;kinetazon;50;mg
1154;C03BA03;klopamidi;klopamid;10;mg
1155;C03BA04;klooritalidoni;klortalidon;25;mg
1156;C03BA05;mefrusidi;mefrusid;25;mg
1157;C03BA07;klofenamidi;klofenamid;;
1158;C03BA08;metolatsoni;metolazon;5;mg
1159;C03BA09;metikraani;metikran;;
1160;C03BA10;ksipamidi;xipamid;20;mg
1161;C03BA11;indapamidi;indapamid;2.5;mg
1162;C03BA12;kloreksoloni;klorexolon;;
1163;C03BA13;fenkvitsoni;fenkvizon;;
1164;C03BA82;kloreksoloni yhdistelmävalmisteet psyykenlääkkeiden kanssa;klorexolon kombinationer med psykofarmaka;;
1165;C03BB;Sulfonamidien ja kaliumin yhdistelmävalmisteet;Kombinationer av sulfonamider och kalium;;
1166;C03BB02;kinetatsoni ja kalium;kinetazon och kalium;50;mg
1167;C03BB03;klopamidi ja kalium;klopamid och kalium;10;mg
1168;C03BB04;klooritalidoni ja kalium;klortalidon och kalium;25;mg
1169;C03BB05;mefrusidi ja kalium;mefrusid och kalium;25;mg
1170;C03BB07;klofenamidi ja kalium;klofenamid och kalium;;
1171;C03BC;Elohopeadiureetit;Kvicksilverdiuretika;;
1285;C05AX04;sinkkivalmisteet;zinkpreparationer;;
1286;C05AX05;tribenosidi;tribenosid;;
1287;C05B;SUONIKOHJUJEN HOITOON TARKOITETUT VALMISTEET;MEDEL FÖR VARIXBEHANDLING;;
1288;C05BA;Hepariinit tai heparinoidit, paikallishoitovalmisteet;Heparin eller heparinoida substanser, utvärtes medel;;
1289;C05BA01;organoheparinoidit;organoheparinoida substanser;;
1290;C05BA02;natriumapolaatti;natriumapolat;;
1291;C05BA03;hepariini;heparin;;
1292;C05BA04;natriumpentosaanipolysulfaatti;natriumpentosanpolysulfat;;
1293;C05BA53;hepariini, yhdistelmävalmisteet;heparin, kombinationer;;
1294;C05BB;Sklerosoivat lääkevalmisteet;Medel för sklerosering;;
1295;C05BB01;monoetanoliamiinioleaatti;monoetanolaminoleat;;
1296;C05BB02;polidokanoli;polidokanol;;
1297;C05BB03;inverttisokeri;invertos;;
1298;C05BB04;natriumtetradekyylisulfaatti;natriumtetradecylsulfat;;
1407;C08CA12;barnidipiini;barnidipin;10;mg
1408;C08CA13;lerkanidipiini;lerkanidipin;10;mg
1409;C08CA55;nifedipiini, yhdistelmävalmisteet;nifedipin, kombinationer;;
1410;C08CX;Muut pääasiassa verisuonistoon vaikuttavat selektiiviset kalsiumkanavan salpaajat;Kalciumkanalblockerare med övervägande kärlselektiv effekt;;
1411;C08CX01;mibefradiili;mibefradil;75;mg
1412;C08D;SYDÄMEEN VAIKUTTAVAT SELEKTIIVISET KALSIUMKANAVAN SALPAAJAT;KALCIUMKANALBLOCKERARE MED DIREKT HJÄRTSELEKTIV EFFEKT;;
1413;C08DA;Fenyylialkyyliamiinijohdokset;Fenylalkylaminderivat;;
1414;C08DA01;verapamiili;verapamil;0.24;g
1415;C08DA02;gallopamiili;gallopamil;;
1416;C08DA51;verapamiili, yhdistelmävalmisteet;verapamil, kombinationer;;
1417;C08DB;Bentsotiatsepiinijohdokset;Bensotiazepinderivat;;
1418;C08DB01;diltiatseemi;diltiazem;0.24;g
1419;C08E;EPÄSELEKTIIVISET KALSIUMKANAVAN SALPAAJAT;ICKE-SELECTIVA KALCIUMKANALBLOCKERARE;;
1420;C08EA;Fenyylialkyyliamiinijohdokset;Fenylalkylaminderivat;;
1024;C02AA04;rauwolfia-alkaloidit, koko juuri;rauwolfiaalkaloider, hela roten;;
1025;C02AA05;deserpidiini;deserpidin;;
1026;C02AA06;metoserpidiini;metoserpidin;;
1027;C02AA07;bietaserpiini;bietaserpin;15;mg
1028;C02AA52;reserpiini, yhdistelmävalmisteet;reserpin, kombinationer;;
1029;C02AA53;rauwolfia-alkaloidien yhdistelmät, yhdistelmävalmisteet;kombinationer av rauwolfiaalkaloider, kombinationer;;
1030;C02AA57;bietaserpiini, yhdistelmävalmisteet;bietaserpin, kombinationer;;
1031;C02AB;Metyylidopa;Metyldopa;;
1032;C02AB01;metyylidopa (levomuoto);metyldopa (L-form);1;g
1033;C02AB02;metyylidopa (raseeminen);metyldopa (racemisk);2;g
1034;C02AC;Imidatsoliinireseptoriagonistit;Imidazol receptor agonister;;
1035;C02AC01;klonidiini;klonidin;0.45;mg
1036;C02AC02;guanfasiini;guanfacin;3;mg
1037;C02AC04;tolonidiini;tolonidin;0.75;mg
1038;C02AC05;moksonidiini;moxonidin;0.3;mg
1039;C02AC06;rilmenidiini;rilmenidin;;
1040;C02B;ANTIADRENERGISET LÄÄKEAINEET, GANGLIOITA SALPAAVAT;ANTIADRENERGIKA, GANGLIEBLOCKERANDE MEDEL;;
2028;G03AC01;noretisteroni;noretisteron;2.5;mg
2029;G03AC01;noretisteroni;noretisteron;1;ED
2030;G03AC02;lynestrenoli;lynestrenol;1;ED
2031;G03AC03;levonorgestreeli;levonorgestrel;1;ED
2032;G03AC04;kingestanoli;kingestanol;;
2033;G03AC05;megestroli;megestrol;;
2034;G03AC06;medroksiprogesteroni;medroxiprogesteron;1.67;mg
2035;G03AC07;norgestrienoni;norgestrienon;;
2036;G03B;ANDROGEENIT;ANDROGENER;;
2037;G03BA;3-oksiandrosteeni-(4)-johdokset;3-oxandrosten-(4)-derivat;;
2038;G03BA01;fluoksimesteroni;fluoximesteron;5;mg
2039;G03BA02;metyylitestosteroni;metyltestosteron;25;mg
2040;G03BA03;testosteroni;testosteron;0.12;g
2129;G03FB08;dydrogesteroni ja estrogeeni;dydrogesteron och estrogen;;
2130;G03FB09;levonorgestreeli ja estrogeeni;levonorgestrel och estrogen;0.75;ED
2131;G03FB10;desogestreeli ja estrogeeni;desogestrel och estrogen;;
2132;G03G;GONADOTROPIINIT JA MUUT OVULAATION STIMULOIJAT;GONADOTROPINER OCH ANDRA OVULATIONSSTIMULERANDE MEDEL;;
2133;G03GA;Gonadotropiinit;Gonadotropiner;;
2134;G03GA01;koriongonadotropiini;koriongonadotropin;250;U
2135;G03GA02;menotropiini;menopausgonadotropin;75;U
2136;G03GA03;seerumin gonadotropiini;serum gonadotropin;750;U
2137;G03GA04;urofollitropiini;urofollitropin;75;U
2138;G03GA05;follitropiini alfa;follitropin alfa;75;U
2139;G03GA06;follitropiini beeta;follitropin beta;75;U
2245;H02AA03;desoksikortoni;desoxikorton;5;mg
2246;H02AB;Glukokortikoidit;Glukokortikoider;;
2247;H02AB01;beetametasoni;betametason;1.5;mg
2248;H02AB01;beetametasoni;betametason;0.4;mg
2249;H02AB02;deksametasoni;dexametason;1.5;mg
2250;H02AB03;fluokortoloni;fluokortolon;10;mg
2251;H02AB04;metyyliprednisoloni;metylprednisolon;7.5;mg
2252;H02AB04;metyyliprednisoloni;metylprednisolon;20;mg
2253;H02AB05;parametasoni;parametason;4;mg
2254;H02AB06;prednisoloni;prednisolon;10;mg
2255;H02AB07;prednisoni;prednison;10;mg
2256;H02AB08;triamsinoloni;triamcinolon;7.5;mg
2345;J01CA12;piperasilliini;piperacillin;14;g
2346;J01CA13;tikarsilliini;tikarcillin;15;g
2347;J01CA14;metampisilliini;metampicillin;1.5;g
2348;J01CA15;talampisilliini;talampicillin;2;g
2349;J01CA16;sulbenisilliini;sulbenicillin;15;g
2350;J01CA17;temosilliini;temocillin;4;g
2351;J01CA18;hetasilliini;hetacillin;2;g
2352;J01CA20;yhdistelmävalmisteet;kombinationer;;
2353;J01CA51;ampisilliini, yhdistelmävalmisteet;ampicillin, kombinationer;;
2354;J01CE;Beetalaktamaasiherkät penisilliinit;Penicillinaskänsliga penicilliner;;
2355;J01CE01;bentsyylipenisilliini ;bensylpenicillin (penicillin G);3.6;g
2356;J01CE02;fenoksimetyylipenisilliini;fenoximetylpenicillin (penicillin V);2;g
2357;J01CE03;propisilliini;propicillin;0.9;g
2041;G03BA03;testosteroni;testosteron;18;mg
2359;J01CE05;fenetisilliini;feneticillin;1;g
2360;J01CE06;penamesilliini;penamecillin;1.05;g
2361;J01CE07;klometosilliini;klometocillin;1;g
2362;J01CE08;bentsyylipenisilliinibentsatiini;bensylpenicillinbenzatin;3.6;g
2363;J01CE09;prokaiinipenisilliini;prokainpenicillin;0.6;g
2364;J01CE10;bentsatiinifenoksimetyylipenisilliini;benzatinfenoximetylpenicillin;2;g
2365;J01CE30;yhdistelmävalmisteet;kombinationer;;
2366;J01CF;Beetalaktamaasiresistentit penisilliinit;Penicillinasstabila penicilliner;;
2367;J01CF01;dikloksasilliini;dikloxacillin;2;g
2368;J01CF02;kloksasilliini;kloxacillin;2;g
2369;J01CF03;metisilliini;meticillin;4;g
2370;J01CF04;oksasilliini;oxacillin;2;g
2140;G03GB;Synteettiset ovulaation stimuloijat;Syntetiska ovulationsstimulerande medel;;
2372;J01CG;Beetalaktamaasin estäjät;Betalaktamashämmare;;
2373;J01CG01;sulbaktaami;sulbaktam;1;g
2374;J01CG02;tatsobaktaami;tazobaktam;;
2375;J01CR;Penisilliinien yhdistelmävalmisteet, myös beetalaktamaasin estäjät;Penicillinkombinationer, också betalaktamashämmare;;
2376;J01CR01;ampisilliini ja beetalaktamaasin estäjä;ampicillin och betalaktamashämmare;6;g
2377;J01CR02;amoksisilliini ja beetalaktamaasin estäjä;amoxicillin och betalaktamashämmare;1.5;g
2378;J01CR03;tikarsilliini ja beetalaktamaasin estäjä;tikarcillin och betalaktamashämmare;15;g
2379;J01CR04;sultamisilliini;sultamicillin;1.5;g
2380;J01CR05;piperasilliini ja beetalaktamaasin estäjä;piperacillin och betalaktamashämmare;14;g
2381;J01CR50;penisilliinien yhdistelmävalmisteet;kombinationer av penicilliner;;
2382;J01D;MUUT BEETALAKTAAMIRAKENTEISET BAKTEERILÄÄKKEET;ÖVRIGA ANTIBAKTERIELLA BETALAKTAMER;;
2257;H02AB09;hydrokortisoni;hydrokortison;30;mg
2384;J01DB01;kefaleksiini;cefalexin;2;g
2385;J01DB02;kefaloridiini;cefaloridin;3;g
2386;J01DB03;kefalotiini;cefalotin;4;g
2387;J01DB04;kefatsoliini;cefazolin;3;g
2388;J01DC01;kefoksitiini;cefoxitin;6;g
2389;J01DC02;kefuroksiimi;cefuroxim;0.5;g
2390;J01DC02;kefuroksiimi;cefuroxim;3;g
2391;J01DC03;kefamandoli;cefamandol;6;g
2392;J01DC04;kefaklori;cefaklor;1;g
2393;J01DB05;kefadroksiili;cefadroxil;2;g
2394;J01DD01;kefotaksiimi;cefotaxim;4;g
2395;J01DD02;keftatsidiimi;ceftazidim;4;g
2396;J01DD03;kefsulodiini;cefsulodin;4;g
2358;J01CE04;atsidosilliini;azidocillin;1.5;g
2398;J01DC05;kefotetaani;cefotetan;4;g
2399;J01DB06;kefatsedoni;cefazedon;3;g
2400;J01DD05;kefmenoksiimi;cefmenoxim;2;g
2401;J01DC06;kefonisidi;cefonicid;1;g
2402;J01DD06;latamoksefi;latamoxef;4;g
2403;J01DC07;kefotiaami;cefotiam;4;g
2404;J01DB07;kefatritsiini;cefatrizin;1;g
2405;J01DD07;keftitsoksiimi;ceftizoxim;4;g
2406;J01DD08;kefiksiimi;cefixim;0.4;g
2407;J01DE01;kefepiimi;cefepim;4;g
2408;J01DD09;kefoditsiimi;cefodizim;2;g
2409;J01DD10;kefetameetti;cefetamet;1;g
2410;J01DD11;kefpiramidi;cefpiramid;2;g
2371;J01CF05;flukloksasilliini;flukloxacillin;2;g
2412;J01DB09;kefradiini;cefradin;2;g
2413;J01DD12;kefoperatsoni;cefoperazon;4;g
2414;J01DD13;kefpodoksiimi;cefpodoxim;0.4;g
2415;J01DB10;kefasetriili;cefasetril;;
2416;J01DB11;kefroksadiini;cefroxadin;2.1;g
2417;J01DB12;keftetsoli;ceftezol;3;g
2418;J01DE02;kefpiromi;cefpirom;4;g
2419;J01DC08;lorakarbefi;loracarbef;0.6;g
2420;J01DD14;keftibuteeni;ceftibuten;0.4;g
2421;J01DC09;kefmetatsoli;cefmetazol;4;g
2423;J01DF;Monobaktaamit;Monobaktamer;;
2424;J01DF01;atstreonaami;aztreonam;4;g
2425;J01DH;Karbapeneemit;Karbapenemer;;
2426;J01DH02;meropeneemi;meropenem;3;g
2428;J01E;SULFONAMIDIT JA TRIMETOPRIIMIVALMISTEET;SULFONAMIDER OCH TRIMETOPRIN;;
2429;J01EA;Trimetopriimi ja johdokset;Trimetoprim och derivat;;
2430;J01EA01;trimetopriimi;trimetoprim;0.4;g
2431;J01EA02;brodimopriimi;brodimoprim;0.2;g
2432;J01EB;Lyhytvaikutteiset sulfonamidit;Kortverkande sulfonamider ;;
2433;J01EB01;sulfaisodimidiini;sulfisodimidin;4;g
2434;J01EB02;sulfametitsoli;sulfametizol;4;g
2435;J01EB03;sulfadimidiini;sulfadimidin;4;g
2436;J01EB04;sulfapyridiini;sulfapyridin;1;g
2437;J01EB05;sulfafuratsoli;sulfafurazol;4;g
2438;J01EB06;sulfaniiliamidi;sulfanilamid;;
2439;J01EB07;sulfatiatsoli;sulfatiazol;;
2440;J01EB08;sulfatiourea;sulfatiourea;6;g
2441;J01EB20;yhdistelmävalmisteet;kombinationer;;
2442;J01EC;Keskipitkävaikutteiset sulfonamidit;Medellångverkande sulfonamider ;;
2397;J01DD04;keftriaksoni;ceftriaxon;2;g
2444;J01EC02;sulfadiatsiini;sulfadiazin;0.6;g
2445;J01EC03;sulfamoksoli;sulfamoxol;1;g
2446;J01EC20;yhdistelmävalmisteet;kombinationer;;
2447;J01ED;Pitkävaikutteiset sulfonamidit;Låndverkande sulfonamider;;
2448;J01ED01;sulfadimetoksiini;sulfadimetoxin;0.5;g
