vnr	ATC	valmiste	vahvuus	vahvuus_num	pkoko	pkoko_num
49040	V08AB10	IOMERON	200 mg I/ml	200	10 x 100 ml	10
49064	C10AB04	GEVILON	300MG	300	30	30
49072	M01AE02	PRONAXEN	250MG	250	15	15
49081	A02BC02	PANTOPRAZOL RANBAXY	40 MG	40	30 FOL	30
49092	L02BB03	BICAVAN	50 MG	50	90 FOL	90
49098	D07BB01	LOCACORTEN VIOFORM			30G	30
49103	L02BB03	BICAVAN	150 MG	150	90 FOL	90
49119	B02BD02	KOVALTRY	250 IU	250	250 IU + 2.5 ml	1
49122	C10AB04	GEVILON	300MG	300	100	100
49154	N06AB10	ESCITALOPRAM ACTAVIS	5 MG	5	100 KPL	100
49155	M01AE02	PRONAXEN	250MG	250	30	30
49205	D07BB01	LOCACORTEN VIOFORM			30G	30
49215	A10BB12	GLIMEPIRID ORION	1 MG	1	30	30
49221	M01AE02	PRONAXEN	250 MG	250	100	100
49224	A10BB12	GLIMEPIRID ORION	1 MG	1	90	90
49233	A10BB12	GLIMEPIRID ORION	2 MG	2	90	90
49239	M01AE02	PRONAXEN	500 MG	500	10	10
49242	A10BB12	GLIMEPIRID ORION	3 MG	3	90	90
49251	A10BB12	GLIMEPIRID ORION	4 MG	4	90	90
49254	H01BB02	PARTOCON	100IU/ML	100	10X2ML	10
49260	A10BB12	GLIMEPIRID ORION	6 MG	6	50	50
49296	L03AB01	FINNFERON-ALPHA	6 MILJ IU/ML	6	10X0.5ML	10
49301	L04AD02	ADPORT	1 mg	1	50	50
49340	N06AB10	ESCITALOPRAM ORION	10 MG	10	28 FOL	28
49341	C09DX01	AMLODIPINE/VALSARTAN/HYDROCHLOROTHIAZIDE KRKA	10 mg / 160 mg / 12.5 mg		100	100
49395	B01AC07	PERSANTIN	100 MG	100	100	100
49419	C10AA05	ATORVASTATIN BLUEFISH	40 MG	40	100 FOL	100
49470	N05AX08	RISPERIDON ORIFARM	4 MG	4	60 FOL	60
49479	N05AX08	RISPERIDON ORIFARM	3 MG	3	60 FOL	60
49488	N05AX08	RISPERIDON ORIFARM	2 MG	2	60 FOL	60
49506	N05AX08	RISPERIDON ORIFARM	1 MG	1	60 FOL	60
49524	S01ED51	DUOTRAV	40 MIKROG/5 MG/ML		"2,5 ML"	2.5
49533	S01ED51	DUOTRAV	40 MIKROG/5 MG/ML		"3 X 2,5 ML"	7.5
49544	A02BC01	LOSEC	20 MG	20	28	28
49551	D01AE16	LOCERYL	0.05	0.05	5 ML	5
49577	D01AE16	LOCERYL	0.0025	0.0025	20G	20
49601	A06AC01	LUNELAX			50X4G	50
49622	N02CC01	SUMATRIPTAN TEVA	100 mg	100	6	6
49650	D01BA02	LAMISIL	250MG	250	28 FOL	28
49676	D01AC03	PEVARYL	10MG/ML	10	30ML	30
49680	N06DX01	MEMANTINE MERZ	10 MG	10	50 FOL	50
49684	D01AE15	LAMISIL	0.01	0.01	30G	30
49692	G03GA01	PROFASI	10000IU	10000	1+SOL	1
49742	L03AB05	INTRONA	3 MILJ IU	3	10+SOL	10
49754	G04BD08	VESICARE	5 MG	5	100 KPL	100
49765	G04BD08	VESICARE	10 MG	10	100 KPL	100
49892	N02AX02	TRAMAL RETARD	100 MG	100	100 FOL	100
49902	J06BA02	KIOVIG	100 mg/ml	100	200 ml	200
49905	R03BA02	PULMICORT TURBUHALER	400 MIKROG/ANNOS	400	2 X 100 ANNOSTA	200
49913	J06BA02	KIOVIG	100 mg/ml	100	10 ml	10
49915	J02AC04	POSACONAZOLE ACCORD	100 mg	100	96 x 1	96
49925	J06BA02	KIOVIG	100 mg/ml	100	25 ml	25
49936	J06BA02	KIOVIG	100 mg/ml	100	50 ml	50
49947	J06BA02	KIOVIG	100 mg/ml	100	100 ml	100
49958	L02AE04	SALVACYL	11.25 mg	11.25	11.25 mg + 2 ml	1
49965	L03AB05	INTRONA	5 MILJ IU	5	10+SOL	10
49973	D01AC03					
49981	L03AB05	INTRONA	10 MILJ IU	10	10+SOL	10
50002	N06DA04	GALANTAMIN ORION	24 MG	24	28 FOL	28
50015	C09CA01	LOSARTAN KRKA	50 MG	50	28 FOL	28
50027	C09DA01	LOSARTAN/HYDROCHLOROTHIAZIDE SANDOZ	"50/12,5 MG"		100 FOL	100
50035	N04BA03	LEVODOPA/CARBIDOPA/ENTACAPONE ORION	"175 MG/43,75 MG/200 MG"	175	100 KPL	100
50038	C09DA01	LOSARTAN/HYDROCHLOROTHIAZIDE SANDOZ	"50/12,5 MG"		30 FOL	30
50042	C09DA01	LOSARTAN/HYDROCHLORTHIAZID KRKA	"50/12,5 MG"		28 FOL	28
50049	C09DA01	LOSARTAN/HYDROCHLOROTHIAZIDE SANDOZ	100/25 MG		100 FOL	100
50051	C09DA01	LOSARTAN/HYDROCHLORTHIAZID KRKA	"50/12,5 MG"		98 FOL	98
50061	C09DA01	LOSARTAN/HYDROCHLOROTHIAZIDE SANDOZ	100/25 MG		30 FOL	30
50068	J05AP54	ZEPATIER	50 mg / 100 mg		28	28
50084	H03AA01	MEDITHYROX	100 mikrog	100	100	100
50208	L01AX03	TEMOZOLOMIDE TEVA	100 mg	100	5	5
50270	C07AB04	ACEBUTOLOL ALTERNOVA	200 MG	200	100	100
50279	C07AB04	ACEBUTOLOL ALTERNOVA	400 MG	400	100 FOL	100
50297	G04CA01	ALFUZOSIN HYDROCHLORID RATIOPHARM	10 MG	10	30 FOL	30
50306	G04CA01	ALFUZOSIN HYDROCHLORID RATIOPHARM	10 MG	10	90 FOL	90
50342	L01XE05	NEXAVAR	200 MG	200	112 FOL	112
50365	A10BJ02	VICTOZA	6 MG/ML	6	3 X 3 ML	9
50379	G04CA02	TAMSACT	"0,4 MG"	0.4	30 FOL	30
50385	B05BB02	NORMOFUNDIN	50 mg/ml	50	10 x 500 ml	10
50388	G04CA02	TAMSACT	"0,4 MG"	0.4	90 FOL	90
50438	L04AA27	GILENYA	0.5 mg	0.5	7 x 1	1
50460	C09CA01	LOSARTAN KRKA	50 MG	50	50 FOL	50
50463	M01AX25	CARTEXAN	400 mg	400	60	60
50469	C09CA01	LOSARTAN KRKA	50 MG	50	98 FOL	98
50533	H01AC01	ZOMACTON	10 mg/ml	10	1	1
50534	J01FA01	ERMYSIN	500 MG	500	20	20
50560	S01ED51	COMBIGAN	2 MG/ML+5 MG/ML		3 X 5 ML	15
50592	A10BG03	PIOGLITAZONE ACTAVIS	15 MG	15	28 FOL	28
50605	N03AX16	LYRICA	225 MG	225	14 FOL	14
50609	B05BB02	NORMOFUNDIN	50 mg/ml	50	10 x 1000 ml	10
50614	N03AX16	LYRICA	225 MG	225	56 FOL	56
50702	A02BC01	OMEPRAZOL ACTAVIS	40 MG	40	100 KPL	100
50714	B05DB	BICANOVA 1.5 % GLUKOOSI			4 x 2000 ml	4
50765	M01CC01	REUMACILLIN	150MG	150	100	100
50773	J04AB02					
50777	B05DB	BICANOVA 2.3 % GLUKOOSI			4 x 2000 ml	4
50814	B01AC07	PERSANTIN DEPOT	200 MG	200	2 X 50	100
50822	B05DB	BICANOVA 4.25 % GLUKOOSI			4 x 2000 ml	4
50826	L01XX51	IMLYGIC	1 x 10e6 PFU/ml		1 x 10e6 PFU/ml	1
50830	L01AX03	TEMOZOLOMIDE ACCORD	20 mg	20	20	20
50831	N05AD01	SERENASE	10 MG	10	100	100
50836	N04BC05	SIFROL	"0,26 MG"	0.26	100 FOL	100
50847	N04BC05	SIFROL	"0,26 MG"	0.26	30 FOL	30
50858	N04BC05	SIFROL	"0,52 MG"	0.52	30 FOL	30
50869	N04BC05	SIFROL	"1,05 MG"	1.05	30 FOL	30
50904	S01CA01	TOBRASONE	3 mg/ml + 1 mg/ml		5 ml	5
50913	N01BB52	LIDOCAIN C ADRENALIN	5 mg/ml + 10 mikrog/ml		5 x 10 ml	5
50932	N05AX08	RISPERIDON RATIOPHARM	4 MG	4	60 FOL	60
50940	N03AX12	GABAPENTIN SANDOZ	600 MG	600	100 FOL	100
50983	M05BA07	RISEDRONAT STADA	35 MG	35	4 FOL	4
50995	M05BA07	RISEDRONAT STADA	35 MG	35	12 FOL	12
51006	R06AE09	LEVOCETIRIZIN STADA	5 MG	5	30 FOL	30
51012	N07BC02	METADON NORDIC DRUGS	150 mg	150	50 ml	1
51017	R06AE09	LEVOCETIRIZIN STADA	5 MG	5	100 FOL	100
51022	N01BB52	LIDOCAIN C ADRENALIN	10 mg/ml + 10 mikrog/ml		5 x 10 ml	5
51029	N03AG01	ORFIRIL	150MG	150	100	100
51031	N01BB52	LIDOCAIN C ADRENALIN	20 mg/ml + 5 mikrog/ml		5 x 10 ml	5
51102	J01FA01	ERMYSIN	500 MG	500	30	30
51110	N03AG01	ORFIRIL	300MG	300	100	100
51199	R03DC03	MONTELUKAST SANDOZ	5 MG	5	100 FOL	100
51261	C07AB07	BISOPROLOL ACCORD	10 mg	10	100	100
51266	C10AA01	SIMVASTATIN ACTAVIS	80 MG	80	98 FOL	98
51331	R06AX26	NEFOXEF	120 MG	120	30 FOL	30
51388	N02AA05	OXYRATIO	5 MG	5	98 KPL	98
51395	V03AE07	PHOS-EX	250 MG	250	180	180
51417	M01AE03	ORUDIS	200MG	200	10 FOL	10
51438	L02BG04	LETROZOL TEVA	"2,5 MG"	2.5	100 FOL	100
51508	J05AF05	ZEFFIX	100 mg	100	28	28
51513	B05AA01	ALBUMAN	200 g/l	200	10 ml	10
51531	B05AA01	ALBUMAN	40 g/l	40	400 ml	400
51738	A10BX02	REPAGLINID STADA	0.5 mg	0.5	90	90
51739	A05AA02	URSOCHOL	250 mg	250	100	100
51755	J01MA06	LEXINOR	400MG	400	7 FOL	7
51790	C09CA01	LOSARTAN AGP	"12,5 MG"	12.5	28 FOL	28
51801	C09CA01	LOSARTAN AGP	50 MG	50	50 FOL	50
51860	R03DC03	MONTELUKAST ACTAVIS	10 MG	10	30 FOL	30
51920	A10AB01	ISUHUMAN INFUSAT	100IU/ML	100	5X3.15ML	15.75
51959	C09AA04	PERINDOPRIL KRKA	4 MG	4	30 FOL	30
51968	C09AA04	PERINDOPRIL KRKA	4 MG	4	90 FOL	90
51987	A07DA03	IMODIUM	2MG	2	30	30
51988	C09BB04	PERINDOPRIL/AMLODIPIN KRKA	8 mg / 5 mg		30	30
52005	A08AX01	ACOMPLIA	20MG	20	98 FOL	98
52027	A12BA01	DUREKAL	1 g	1	100	100
52035	A12BA01	DUREKAL	1 g	1	300	300
52067	C09CA06	CANDEXETIL	8 MG	8	98 FOL	98
52071	A10BD15	XIGDUO	5 MG/1000 MG		196 FOL	196
52081	N06AX12	VOXRA	150 MG	150	30	30
52093	N06AX12	VOXRA	300 MG	300	30	30
52115	A02BC02	PANTOPRAZOL RANBAXY	40 MG	40	56 FOL	56
52142	G04BE01	RIGIDUR DUO	20MIKROG	20	2X1+SOL	2
52184	B01AB05	KLEXANE	100 MG/ML	2000	"10 X 0,2 ML"	10
52195	R06AE09	LEVOCETIRIZIN STADA	5 mg	5	10	10
52206	M05BA07	RISEDRONAT STADA	5 MG	5	28 FOL	28
52218	D11AH01	PROTOPIC	"0,1 %"	0.1	30 G	30
52223	L01XE06	SPRYCEL	20 MG	20	60	60
52225	D01AC03	PEVARYL	10MG/G	10	15G	15
52229	D11AH01	PROTOPIC	"0,1 %"	0.1	60 G	60
52241	C08CA02	HYDAC	2.5MG	2.5	28	28
52251	L01XE06	SPRYCEL	50 MG	50	60	60
52274	J01FA01	ERMYSIN	500 MG	500	100	100
52277	C09DB01	AMLODIPIN/VALSARTAN STADA	5 mg / 160 mg		100	100
52278	L01XE06	SPRYCEL	70 MG	70	60 KPL	60
52280	A06AH03	MOVENTIG	12.5 mg	12.5	30 x 1	30
52300	C10AA05	ATORVASTATIN ORION	10 MG	10	100 FOL	100
52358	C09DA07	TELMISARTAN/HYDROCHLOROTHIAZIDE ORION	40 mg / 12.5 mg		98	98
52365	C08CA02	HYDAC	"2,5 MG"	2.5	98	98
52399	G03DA04	LUGESTERON	100MG	100	30 FOL	30
52405	S01ED51	GANFORT	"0,3 MG/ML+5 MG/ML"		1X3 ML	3
52414	S01ED51	GANFORT	"0,3 MG/ML+5 MG/ML"		3 X 3 ML	9
52431	R01AX03	ATROVENT NASAL	21MIKROG/DOS	21	15ML/180 DOS	180
52494	N03AX14	LEVETIRACETAM SANDOZ	250 mg	250	50	50
52505	B05BA10	KABIVEN			4 x 2053 ml	4
52515	B05BA10	KABIVEN			3 x 2566 ml	4
52524	B05BA10	KABIVEN PERIFER			4 x 1920 ml	4
52533	B05BA10	KABIVEN PERIFER			3 x 2400 ml	3
52564	N05AH04	QUETIAPINE ACCORD	200 MG	200	100 FOL	100
52694	M03AC11	CISATRACURIUM ACCORD	5 mg/ml	5	30 ml	30
52697	N03AX16	LYRICA	25 mg	25	56	56
52706	N03AX16	LYRICA	75 mg	75	56	56
52715	N03AX16	LYRICA	150 mg	150	56	56
52737	N05AX12	ARIPIPRAZOL KRKA	5 MG	5	56 FOL	56
52745	D10BA01	ISOTRETINOIN ORION	20 MG	20	30 FOL	30
52833	C09CA06	ATACAND	32 MG	32	28 FOL	28
52845	R03AC04	BEROTEC	1MG/ML	1	20ML	20
52936	M01AG01	PONSTAN	500 MG	500	50	50
52951	B01AB09	ORGARAN	1250 anti-Xa U/ml	1250	10 x 0.6 ml	10
52977	M01AG01	PONSTAN	500 MG	500	100	100
53007	N07BC02	METADON NORDIC DRUGS	20 mg	20	50 ml	1
53018	G03CA03	LENZETTO	1.53 mg/suihke	1.53	56 annosta	56
53021	L01CD02	TAXOTERE	20 mg / 1 ml		20 mg	1
53032	L01CD02	TAXOTERE	80 mg / 4 ml		80 mg	1
53033	A10AC01	HUMUTARD	100IU/ML	100	10ML	10
53043	J05AR10	KALETRA	200 mg / 50 mg		120	120
53058	H02AB02	DECADRON	4MG/ML	4	5X1ML	5
53066	H02AB02	DECADRON	4MG/ML	4	10X1ML	10
53141	G04BD08	SOLIFENACIN ACCORD	10 mg	10	30	30
53304	C10AA05	LIPISTAD	80 MG	80	100 FOL	100
53309	N05AE05	LATUDA	74 mg	74	98 x 1	98
53336	R03DC03	MONTELUKAST SANDOZ	4 MG	4	30 KPL	30
53397	L04AA13	ARAVA	20 MG	20	30	30
53413	L04AA13	ARAVA	20 MG	20	100	100
53423	C09CA06	CANDESARTAN ASPEN	32 MG	32	30 FOL	30
53434	A06AD11	LAXORIN	667 MG/ML	667	1000 ML	1000
53546	L04AA13	ARAVA	100MG	100	3 FOL	3
53563	N02AA55	TARGINIQ	5 mg / 2.5 mg		28	28
53564	M01AH05	ETORICOXIB MYLAN	30 mg	30	28	28
53574	N02AA55	TARGINIQ	5 mg / 2.5 mg	5	98	98
53585	N02AA55	TARGINIQ	40 mg / 20 mg	40	28	28
53596	N02AA55	TARGINIQ	40 mg / 20 mg	40	98	98
53645	N01BB02	XYLOCAIN	0.02	0.02	10X20G	10
53660	R01BA52	CIRRUS			14 FOL	14
53662	N06AX11	MIRTATSAPIINI TEVA	45 MG	45	30 FOL	30
53671	N06AX11	MIRTATSAPIINI TEVA	15 MG	15	30 FOL	30
53702	A10AB01	INSUMAN INFUSAT	100 IU/ML	100	"5 X 3,15 ML"	15.75
53777	N05AA03	SPARINE	100MG	100	100	100
53806	N06AB04	CITALOPRAM ACTAVIS	10 MG	10	98 FOL	98
53809	J02AC05	CRESEMBA	200 mg	200	200 mg	1
53815	N06AB04	CITALOPRAM ACTAVIS	20 MG	20	28 FOL	28
53819	N05AA03	SPARINE	50MG	50	100	100
53824	N06AB04	CITALOPRAM ACTAVIS	20 MG	20	98 FOL	98
53833	N06AB04	CITALOPRAM ACTAVIS	40 MG	40	28 FOL	28
53842	N06AB04	CITALOPRAM ACTAVIS	40 MG	40	98 FOL	98
53843	G03DA04	CRINONE	0.08	0.08	15	15
53878	G04CB02	AVODART	"0,5 MG"	0.5	30 FOL	30
53923	N05AX12	ABILIFY	7.5 mg/ml	7.5	1.3 ml	1.3
53934	R03AC02	BUVENTOL	0.1MG/DOS	0.1	200 DOS	200
53975	R03AC02	BUVENTOL	0.2 MG/ANNOS	0.2	200 annosta	200
53991	D10AF01	DALACIN	10MG/ML	10	30ML	30
54024	N06AX11	MIRTATSAPIINI TEVA	45 MG	45	96 FOL	96
54033	N06AX11	MIRTATSAPIINI TEVA	15 MG	15	96 FOL	96
54042	N06AX11	MIRTATSAPIINI TEVA	30 MG	30	30 FOL	30
54049	R03BB01	ATROVENT	0.25MG/ML	0.25	20ML	20
54051	N06AX11	MIRTATSAPIINI TEVA	30 MG	30	96 FOL	96
54056	N05BA06	TEMESTA	1 MG	1	30 FOL	30
54171	N05BA04	OXEPAM	15MG	15	30 FOL	30
54240	V08CA08	MULTIHANCE	334 mg/ml	334	5 ml	5
54252	V08CA08	MULTIHANCE	334 mg/ml	334	10 ml	10
54263	V08CA08	MULTIHANCE	334 mg/ml	334	15 ml	15
54274	V08CA08	MULTIHANCE	334 mg/ml	334	20 ml	20
54304	A10AB01	INSUMAN RAPID	100IU	100	4X3ML	12
54309	J01CA08	SELEXID	400 MG	400	10 FOL	10
54321	J01CA08	SELEXID	400 MG	400	15 FOL	15
54332	J01CA08	SELEXID	400 MG	400	20 FOL	20
54343	B05AA01	ALBUNORM	200 g/l	200	50 ml	50
54353	N05BA04	OXEPAM	15MG	15	50 FOL	50
54361	M03BB53	PARAFLEX COMP			30 FOL	30
54376	B05AA01	ALBUNORM	200 g/l	200	100 ml	100
54379	C07AA05	INDERAL RETARD	160MG	160	30 FOL	30
54388	B01AC11	VENTAVIS	10 mikrog/ml	10	168 (4 x 42)	168
54452	N05BA04	OXEPAM	15MG	15	100 FOL	100
54460	N05BA04	OXEPAM	50MG	50	30 FOL	30
54488	J02AB02	NIZORAL	200 MG	200	10 FOL	10
54505	N05AH01	ADASUVE	9.1 mg	9.1	1	1
54514	S01ED51	DUOTRAV	40 MIKROG/ML + 5 MG/ML		"3 X 2,5 ML"	7.5
54551	A10AD01	INSUMAN COMB 25	100IU/ML	100	5ML	5
54602	L01XE01	IMATINIB KRKA D.D.	100 mg	100	120	120
54668	N05BA04	OXEPAM	50MG	50	100 FOL	100
54705	S01GX08	ZADITEN	0.25 mg/ml	0.25	60 x 0.4 ml	60
54750	G04CB01	TIFISTERID	5 MG	5	28 FOL	28
54759	A10AD01	INSUMAN COMB 25	100 IU/ML	100	4 X 3 ML	12
54760	G04CB01	TIFISTERID	5 MG	5	98 FOL	98
54768	G03GA04	FOSTIMON SET	150 IU/ml	150	10	1
54784	A02BC04	RABEPRAZOL NAVAMEDIC	20 MG	20	28 FOL	28
54829	R06AX27	DESLORATADIN ORION	5 mg	5	100	100
54860	N06AB03	FLUOXETIN SANDOZ	20 MG	20	30 FOL	30
54866	G03GA06	PUREGON	100IU	100	1+SOL	1
54869	N06AB03	FLUOXETIN SANDOZ	20 MG	20	100 FOL	100
54896	C05AE01	RECTOGESIC	4 mg/g	4	30 g	30
54914	N04BC09	NEUPRO	2 MG/24 H	2	7	7
54916	J01AA02	DOSYKLIN	150 MG	150	6	6
54923	N04BC09	NEUPRO	4 MG/24 H	4	7	7
54924	J01AA02	DOSYKLIN	150MG	150	8	8
54933	N04BC09	NEUPRO	6 MG/24 H	6	7	7
54942	N04BC09	NEUPRO	8 MG/24 H	8	7	7
54950	A10BD15	XIGDUO	5 MG/850 MG		56 FOL	56
54974	R03BB05	EKLIRA GENUAIR	322 MIKROG	322	60 ANNOS	60
54977	L01XE21	STIVARGA	40 mg	40	3 x 28	84
54981	J01AA02	DOSYKLIN	150MG	150	10	10
54999	J01AA02	DOSYKLIN	150MG	150	15	15
55003	N06AX21	DULOXETINE MYLAN	60 mg	60	98	98
55038	A10AC01	INSUMAN BASAL	100IU/ML	100	5ML	5
55046	A10AC01	INSUMAN BASAL	100 IU/ML	100	4 X 3 ML	12
55073	L04AA06	MYFENAX	250 MG	250	100 FOL	100
55084	L04AA06	MYFENAX	500 MG	500	50 FOL	50
55097	C09DA03	VALSARTAN/HYDROKLORTIAZID ACTAVIS	"80/12,5 MG"		28 FOL	28
55108	C09DA03	VALSARTAN/HYDROKLORTIAZID ACTAVIS	"80/12,5 MG"		98 FOL	98
55119	C09DA03	VALSARTAN/HYDROKLORTIAZID ACTAVIS	"160/12,5 MG"		28 FOL	28
55130	C09DA03	VALSARTAN/HYDROKLORTIAZID ACTAVIS	"160/12,5 MG"		98 FOL	98
55142	C09DA03	VALSARTAN/HYDROKLORTIAZID ACTAVIS	160/25 MG		28 FOL	28
55153	C09DA03	VALSARTAN/HYDROKLORTIAZID ACTAVIS	160/25 MG		98 FOL	98
55164	S01AE07	VIGAMOX	5 mg/ml	5	5 ml	5
55209	L04AX03	TREXAN	2.5 mg	2.5	100	100
55236	G03DA02	GESTAPURAN	5MG		60 FOL	60
55243	G04BE08	TADALAFIL RATIOPHARM	10 mg	10	12	12
55280	D05BX	SKILARENCE	30 mg	30	42	42
55332	N04BC09	NEUPRO	2 MG/24 H	2	28	28
55343	G03GA06	PUREGON	150IU	150	1+SOL	1
55351	N04BC09	NEUPRO	4 MG/24 H	4	28	28
55360	N04BC09	NEUPRO	6 MG/24 H	6	28	28
55369	N04BC09	NEUPRO	8 MG/24 H	8	28	28
55400	J01AA02	DOSYKLIN	150MG	150	25	25
55593	J05AR17	DESCOVY	200 mg / 25 mg		30	30
55616	R05CB03	PULMOCLASE	50MG/ML	50	500ML	500
55620	C09DX01	EXFORGE HCT	"5/160/12,5 MG"		28 FOL	28
55631	C09DX01	EXFORGE HCT	"5/160/12,5 MG"		98 FOL	98
55640	R05CB03	PULMOCLASE	375MG	375	50 FOL	50
55642	N02AB03	MATRIFEN	12 MIKROG/H	0.3	5	5
55643	C09DX01	EXFORGE HCT	"10/160/12,5 MG"		28 FOL	28
55654	C09DX01	EXFORGE HCT	"10/160/12,5 MG"		98 FOL	98
55665	J01DB01	KEFEXIN	250MG	250	20	20
55687	N02AB03	MATRIFEN	25 MIKROG/H	0.6	5	5
55711	C09DX01	EXFORGE HCT	10/320/25 MG		28 FOL	28
55715	J01DB01	KEFEXIN	250MG	250	30	30
55716	N02AB03	INSTANYL	100 mikrog	100	6 x 100 mikrog	6
55722	C09DX01	EXFORGE HCT	10/320/25 MG		98 FOL	98
55723	J01DB01	KEFEXIN	250MG	250	100	100
55726	A10BH04	VIPIDIA	"12,5 MG"	12.5	28 FOL	28
55733	N02AB03	MATRIFEN	50 MIKROG/H	1.2	5	5
55736	L01XE23	TAFINLAR	75 mg	75	120	120
55746	G04CA53	URIZIA	6 mg / 0.4 mg		30	30
55756	A07EC01	SALAZOPYRIN	500 MG	500	100	100
55764	D06AX01	FUCIDIN	0.02	0.02	30G	30
55778	N02AB03	MATRIFEN	75 MIKROG/H	1.8	5 X 1	5
55814	C01AA05	DIGOXIN SEMI	0.125MG	0.125	30	30
55822	C01AA05	DIGOXIN	"0,125 MG"	0.125	100	100
55824	N02AB03	MATRIFEN	100 MIKROG/H	2.4	5 X 1	5
55898	L03AA13	NEULASTA	6 MG	6	"0,6 ML"	0.6
55905	G03GA06	PUREGON	50IU	50	1+SOL	1
55997	L02AE02	ENANTON DEPOT DUAL	30 MG	30	1+SOL	1
56074	J07CA10	VIATIM			1 ml	1
56089	N06AB05	PAROXETIN PFIZER	20 MG	20	100 FOL	100
56100	G04CB01	FINASTERID PFIZER	5 MG	5	30 FOL	30
56111	G04CB01	FINASTERID PFIZER	5 MG	5	100 FOL	100
56122	A10BA02	METFORMIN PFIZER	500 MG	500	100 FOL	100
56134	A10BA02	METFORMIN PFIZER	850 MG	850	100 FOL	100
56156	C10AA01	SIMVASTATIN PFIZER	10 MG	10	30 FOL	30
56167	C10AA01	SIMVASTATIN PFIZER	10 MG	10	100 FOL	100
56179	C10AA01	SIMVASTATIN PFIZER	20 MG	20	30 FOL	30
56190	C10AA01	SIMVASTATIN PFIZER	20 MG	20	100 FOL	100
56196	L01XC05	MYLOTARG	5 mg	5	5 mg	1
56201	C10AA01	SIMVASTATIN PFIZER	40 MG	40	30 FOL	30
56212	C10AA01	SIMVASTATIN PFIZER	40 MG	40	100 FOL	100
56226	L04AD01	SANDIMMUN	50 MG	50	50	50
56235	C10AA01	SIMVASTATIN PFIZER	80 MG	80	100 FOL	100
56242	M01CB03	RIDAURA	3 MG	3	100	100
56276	C09DX01	AMLODIPINE/VALSARTAN/HYDROCHLOROTHIAZIDE STADA	10 mg / 160 mg / 12.5 mg		98	98
56308	N07XX07	FAMPYRA	10 mg	10	28	28
56423	L02BB03	BICALUTAMID RATIOPHARM	50 MG	50	30 FOL	30
56433	L02BB03	BICALUTAMID RATIOPHARM	150 MG	150	30 FOL	30
56498	L02BG03	ANASTROZOL PENSA	1 MG	1	98 FOL	98
56499	C01BA03	DURBIS	150MG	150	100	100
56500	B01AF03	LIXIANA	15 mg	15	10	10
56514	L03AB01	MULTIFERON	"3 MILJ IU/0,5 ML"	3	"6 X 0,5 ML"	6
56564	V03AF03	LEUCOVORIN	15MG	15	10	10
56649	J06BA02	INTRATECT	100 g/l	100	10 ml	10
56762	N03AG01	ABSENOR	100MG	100	100 FOL	100
56763	D11AH02	ELIDEL	10 MG/G	10	15 G	15
56778	M03BX02	TIZANIDIN COPYFARM	2 MG	2	30 FOL	30
56787	M03BX02	TIZANIDIN COPYFARM	2 MG	2	100 FOL	100
56797	M03BX02	TIZANIDIN COPYFARM	4 MG	4	30 FOL	30
56806	M03BX02	TIZANIDIN COPYFARM	4 MG	4	100 FOL	100
56812	C08DA01	HEXASOPTIN	40MG	40	100	100
56861	C08DA01	HEXASOPTIN	80MG	80	100	100
56897	D06BB10	ALDARA	0.05	0.05	12 x 250 mg	12
56911	N03AG01	ABSENOR	300MG	300	100 FOL	100
56915	L04AA23	TYSABRI	300 mg	300	1	1
56928	N07BC02	METADON NORDIC DRUGS	190 mg	190	7 x 50 ml	7
56933	J05AR02	KIVEXA	600 mg / 300 mg		30	30
56936	L03AA13	NEULASTA	6 MG	6	"0,6 ML"	0.6
56937	N03AG01	ABSENOR	500MG	500	100 FOL	100
56961	J05AF07	VIREAD	245 mg	245	30	30
56970	L01XX35	XAGRID	0.5 mg	0.5	100	100
57026	C09DA06	ATACAND PLUS	"16 MG/12,5 MG"		28 FOL	28
57042	C09DA06	ATACAND PLUS	"16 MG/12,5 MG"		98 FOL	98
57065	N07BC02	METADON NORDIC DRUGS	190 mg	190	50 ml	1
57068	J05AF05	EPIVIR	150 mg	150	60	60
57126	B03XA02	ARANESP	20 MIKROG	20	"4 X 0,5 ML"	4
57148	B03XA02	ARANESP	30 MIKROG	30	"4 X 0,3 ML"	4
57171	B03XA02	ARANESP	40 MIKROG	40	"4 X 0,4 ML"	4
57193	C10AA07	ROSUVASTATIN STADA	20 mg	20	100	100
57194	B03XA02	ARANESP	50 MIKROG	50	"4 X 0,5 ML"	4
57217	B03XA02	ARANESP	60 MIKROG	60	"4 X 0,3 ML"	4
57220	L01XC23	EMPLICITI	400 mg	400	400 mg	1
57239	B03XA02	ARANESP	80 MIKROG	80	"4 X 0,4 ML"	4
57262	B03XA02	ARANESP	100 MIKROG	100	"4 X 0,5 ML"	4
57285	B03XA02	ARANESP	130 MIKROG	130	"4 X 0,65 ML"	4
57291	N02AA55	TANONALLA	10 mg / 5 mg	10	30 x 1	30
57308	B03XA02	ARANESP	150 MIKROG	150	"4 X 0,3 ML"	4
57319	B03XA02	ARANESP	300 MIKROG	300	"0,6 ML"	1
57335	B05BA03	GLUCOS BAXTER VIAFLO	50 mg/ml	50	20 x 500 ml	20
57341	B03XA02	ARANESP	500 MIKROG	500	1 ML	1
57347	A10BD20	SYNJARDY	"12,5/1000 MG"		2 X 90 FOL	180
